id,first_author,year,venue,cohorts,task,best_model,split_unit,best_metric_name,best_metric,calibration,external_validation,shared_controls_flag,code,confidence,source,extraction_basis
S17,Hopping-mean augmentation,2024,Multimedia Tools Appl,DEPRESJON,depressed vs control,Augmented ML,day/window,accuracy,n.r.,no,no,nan,no,low (verify),doi:10.1007/s11042-024-19631-9,abstract/metadata
S18,IoMT dimensionality reduction,2024,Int J Inf Technol,HYPERAKTIV,ADHD vs clinical control,10 classifiers on reduced features,unstated,accuracy,n.r.,no,no,nan,no,low (verify),doi:10.1007/s41870-024-01895-x,abstract/metadata
S19,Explainable XGBoost,2025,JMIR Mental Health,DEPRESJON,depressed vs control; severity,XGBoost + ADASYN,unstated in abstract,accuracy,0.849,no,no,nan,no,medium,doi:10.2196/72038,abstract/metadata
S20,Improved CNN framework,2025,Scientific Reports,DEPRESJON+PSYKOSE,mental illness vs control,Improved CNN,day/window,accuracy,n.r.,no,no,not stated,no,low (verify),doi:10.1038/s41598-025-07245-6,abstract/metadata
S21,Enhanced ADHD ML,2025,PubMed 40588896,HYPERAKTIV/OBF (45 participants),ADHD vs control,SVM,unstated,F1,0.779,no,no,nan,no,medium,PMID 40588896,abstract/metadata
S22,HYPERAKTIV ML study,2025,Springer chapter,HYPERAKTIV,ADHD vs clinical control,RF / LightGBM / SVM,unstated,accuracy,n.r.,no,no,nan,no,low (verify),doi:10.1007/978-3-032-05507-1_16,abstract/metadata
S23,Multimodal digital biomarkers,2025,TechRxiv,HYPERAKTIV,ADHD vs clinical control,Bernoulli NB (actigraphy+HRV),unstated,F1,0.79,no,no,nan,no,medium,doi:10.36227/techrxiv.176403977.77890479,abstract/metadata
S24,OBF-Psychiatric descriptor,2025,Scientific Data,OBF-Psychiatric,multi-class groups,Classical ML baselines,participant,accuracy,n.r.,no,no,recognised (single control set),yes,high,doi:10.1038/s41597-025-04384-3,full text
S25,Data-uncertainty case study,2025,medRxiv,OBF-Psychiatric (ADHD),ADHD vs control,QC + ML,participant,,no difference after QC,no,no,nan,no,medium,doi:10.1101/2025.08.26.25332257,abstract/metadata
S26,ViT / CoAtNet on images,2025,arXiv 2512.00103,DEPRESJON+PSYKOSE,condition vs control (images),CoAtNet-Tiny,participant (three-fold subject-wise),accuracy,n.r.,no,no,not stated,no,medium,arXiv:2512.00103,abstract/metadata
S27,Time-segmentation evaluation,2026,Discover Artificial Intelligence,DEPRESJON,depressed vs control,ML on day segments,n.r.,accuracy,n.r.,no,no,nan,no,low (verify),doi:10.1007/s44163-026-01574-9,abstract/metadata
S28,Accurate ADHD identification,2022,Brain Sciences (PMC9312518),HYPERAKTIV,ADHD vs clinical control,ML on real-time activity,unstated,accuracy,n.r.,no,no,nan,no,low (verify),PMC9312518,abstract/metadata
